"Cover";"Qty_CD";"Date_Modifs";"Family";"MD5";"Length";"Qty_CueERR";"ID_CD";"Qty_covers";"Statut";"Duration";"Qty_Tracks";"Typ_Tag";"Qty_repMusic";"RHDD_Modifs";"Label";"Position1";"Category";"Position2";"Year";"Qty_audio";"Path";"Typ_Audio";"ISRC";"Size";"Date_Insert";"Qty_Cue";"Name";"Qty_repCover"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Delirious - Break Point (2005)\cover.jpg";"1";"2017-03-17 12:31:55";"Download";"CEC51387381CC0AD3E53CE504F7EC6A5";"01:18:43";"1";"4026";"1";"NEW";"4722,867";"10";"TAG";"1";"2017-03-17 12:02:51";"";"Download";"TRANCE";"_2005_2009";"2005";"10";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Delirious - Break Point (2005)";"FLAC";"";"499";"2017-03-17 12:31:55";"1";"Delirious - Break Point ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Elea - Exploring Stratosphere [Mandala Records] (2013)\cover.jpg";"1";"2017-03-17 12:32:43";"Download";"820928F0CF3A1D2B7ACBAA0CB4B9AE89";"01:09:53";"0";"4006";"1";"UPDATE";"4193";"9";"CUE";"1";"2017-03-14 11:52:13";"";"Download";"TRANCE";"_2010_2014";"2013";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Elea - Exploring Stratosphere [Mandala Records] (2013)";"FLAC";"";"505";"2017-03-13 12:51:09";"1";"Elea - Exploring Stratosphere [Mandala Records] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Effective & Darwish - Break The Cycle [New Kicks Records] (2017)\cover.jpg";"1";"2017-03-17 12:33:39";"Download";"952244EF297055CBDF42998706A88F41";"00:07:05";"0";"4027";"2";"NEW";"425,367";"1";"TAG";"1";"2017-03-15 19:40:56";"";"Download";"TRANCE";"_2015_2019";"2017";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Effective & Darwish - Break The Cycle [New Kicks Records] (2017)";"FLAC";"";"54";"2017-03-17 12:33:39";"0";"Effective & Darwish - Break The Cycle [New Kicks Records] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Katri - Ompasa [New Kicks Records-NKR01DIGI036] (2017)\cover.jpg";"1";"2017-03-17 12:33:51";"Download";"2911D98903FF1FD9AFF63ABC262C0E4F";"00:12:52";"0";"4028";"2";"NEW";"772,486";"2";"TAG";"1";"2017-03-15 19:40:51";"";"Download";"TRANCE";"_2015_2019";"2017";"2";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Katri - Ompasa [New Kicks Records-NKR01DIGI036] (2017)";"FLAC";"";"92";"2017-03-17 12:33:51";"0";"Katri - Ompasa [New Kicks Records-NKR01DIGI036] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Katri - Shamanic Dream [New Kicks Records-NKR01DIGI040] (2017)\cover.jpg";"1";"2017-03-17 12:34:01";"Download";"1EBD33B0AAEF5F2C7DA09C477A39053F";"00:13:26";"0";"4029";"2";"NEW";"805,588";"2";"TAG";"1";"2017-03-15 19:40:52";"";"Download";"TRANCE";"_2015_2019";"2017";"2";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Katri - Shamanic Dream [New Kicks Records-NKR01DIGI040] (2017)";"FLAC";"";"98";"2017-03-17 12:34:01";"0";"Katri - Shamanic Dream [New Kicks Records-NKR01DIGI040] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Synctronik - Complexd Problem [New Kicks Records-NKR01DIGI041] (2017)\cover.jpg";"1";"2017-03-17 12:34:27";"Download";"B53C455196B5A46E88D4EE45FB9FDF4B";"00:20:51";"0";"4030";"2";"NEW";"1250,782";"3";"TAG";"1";"2017-03-15 19:40:53";"";"Download";"TRANCE";"_2015_2019";"2017";"3";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Synctronik - Complexd Problem [New Kicks Records-NKR01DIGI041] (2017)";"FLAC";"";"144";"2017-03-17 12:34:27";"0";"Synctronik - Complexd Problem [New Kicks Records-NKR01DIGI041] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\VA - Gate To The Past (2017)\cover.jpg";"1";"2017-03-17 12:34:53";"Download";"4060C1BD221533817F740CCA985EAAA6";"00:39:29";"0";"4031";"1";"NEW";"2369,355";"9";"TAG";"1";"2017-03-15 19:40:53";"";"Download";"TRANCE";"_2015_2019";"2017";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\VA - Gate To The Past (2017)";"FLAC";"";"250";"2017-03-17 12:34:53";"0";"VA - Gate To The Past ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD55] FREq - Remixed (2008)\cover.jpg";"1";"2017-03-17 12:38:04";"Label/Physique";"E71C7FC905EF8FF5C22B8AE4BD4F9C83";"01:11:55";"0";"4034";"1";"NEW";"4314,653";"9";"TAG";"1";"2017-03-08 00:49:07";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2008";"9";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD55] FREq - Remixed (2008)";"FLAC";"IBOGACD55";"471";"2017-03-17 12:38:04";"1";"FREq - Remixed ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD66] Liquid Soul - Cocktails (2009)\CD1\cover.jpg";"2";"2017-03-17 12:38:27";"Label/Physique";"3A2BDE6E65A5CEA579A65F82185EAEC6";"02:28:33";"0";"4036";"2";"NEW";"8912,691";"18";"TAG";"2";"2016-07-24 13:36:43";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2009";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD66] Liquid Soul - Cocktails (2009)";"FLAC";"IBOGACD66";"965";"2017-03-17 12:38:27";"2";"Liquid Soul - Cocktails ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD65] Set 11 - Frequent Itinerant compiled by John OO Fleming (2009)\CD1\cover.jpg";"2";"2017-03-17 12:38:19";"Label/Physique";"6551765827723607E965DCAFE64B489D";"02:33:38";"0";"4035";"2";"NEW";"9218,492";"18";"TAG";"2";"2016-07-24 13:39:31";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2009";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD65] Set 11 - Frequent Itinerant compiled by John OO Fleming (2009)";"FLAC";"IBOGACD65";"1035";"2017-03-17 12:38:19";"2";"Set 11 - Frequent Itinerant compiled by John OO Fleming ";"0"
