"Cover";"Qty_CD";"Date_Modifs";"Family";"MD5";"Length";"Qty_CueERR";"ID_CD";"Qty_covers";"Statut";"Duration";"Qty_Tracks";"Typ_Tag";"Qty_repMusic";"RHDD_Modifs";"Label";"Position1";"Category";"Position2";"Year";"Qty_audio";"Path";"Typ_Audio";"ISRC";"Size";"Date_Insert";"Qty_Cue";"Name";"Qty_repCover"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)\cover.jpg";"1";"2017-03-03 14:59:01";"Download";"C2B33F82211ED0A584748C444BB287A6";"01:13:24";"0";"3977";"7";"NEW";"4403,639";"10";"TAG";"1";"2017-02-28 14:50:01";"";"Download";"TRANCE";"_2000_2004";"2000";"10";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"FLAC";"";"491";"2017-03-03 14:59:01";"2";"GMS vs. Systembusters - GMS vs. Systembusters ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Decoy - Not Responding To Light (2006)\cover.jpg";"1";"2017-03-03 14:59:41";"Download";"5E36A4FEC58A5A0285DD879337E46542";"01:16:11";"0";"3978";"3";"NEW";"4570,52";"10";"TAG";"1";"2017-03-01 17:55:57";"";"Download";"TRANCE";"_2005_2009";"2006";"10";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Decoy - Not Responding To Light (2006)";"FLAC";"";"455";"2017-03-03 14:59:41";"0";"Decoy - Not Responding To Light ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Decoy - Push Button Pony (2007)\cover.jpg";"1";"2017-03-03 14:59:46";"Download";"A455F8365678F356509B27949A52F0BA";"01:15:55";"0";"3979";"1";"NEW";"4554,799";"9";"TAG";"1";"2017-03-01 17:55:57";"";"Download";"TRANCE";"_2005_2009";"2007";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Decoy - Push Button Pony (2007)";"FLAC";"";"457";"2017-03-03 14:59:46";"0";"Decoy - Push Button Pony ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Tulk - Wonderland (2008)\cover.jpg";"1";"2017-03-03 15:00:11";"Download";"8BE1C577F56D14BD5F1F4B3CEC199A97";"01:15:25";"0";"3980";"1";"NEW";"4525";"9";"CUE";"1";"2017-03-01 17:54:07";"";"Download";"TRANCE";"_2005_2009";"2008";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\Tulk - Wonderland (2008)";"FLAC";"";"510";"2017-03-03 15:00:11";"1";"Tulk - Wonderland ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\VA - The Next Generation (2006)\cover.jpg";"1";"2017-03-03 15:00:27";"Download";"E67BB9EC55FEEB3DC9209FA04E95D197";"01:11:33";"0";"3981";"1";"NEW";"4293,187";"10";"TAG";"1";"2017-03-01 17:54:31";"";"Download";"TRANCE";"_2005_2009";"2006";"10";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2005_2009\VA - The Next Generation (2006)";"FLAC";"";"496";"2017-03-03 15:00:27";"1";"VA - The Next Generation ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Atma - Music Revolution [BMSS Records] (2011)\cover.jpg";"1";"2017-03-03 15:00:39";"Download";"D4688EE778DD39111887A11B44606C07";"01:12:28";"0";"3982";"10";"NEW";"4348";"10";"CUE";"1";"2016-04-17 12:17:00";"";"Download";"TRANCE";"_2010_2014";"2011";"1";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\Atma - Music Revolution [BMSS Records] (2011)";"FLAC";"";"554";"2017-03-03 15:00:39";"1";"Atma - Music Revolution [BMSS Records] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\KamaSutrance - Vs The World EP [DND007] (2012)\cover.jpg";"1";"2017-03-03 15:00:56";"Download";"91BB3F5E4787256F0FDA52F230274D78";"00:39:59";"0";"3983";"2";"NEW";"2398,758";"5";"TAG";"1";"2017-03-03 14:45:13";"";"Download";"TRANCE";"_2010_2014";"2012";"5";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\KamaSutrance - Vs The World EP [DND007] (2012)";"FLAC";"";"287";"2017-03-03 15:00:56";"0";"KamaSutrance - Vs The World EP [DND007] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Morphic Resonance - The City of Moons [Suntrip Records - SUNCD41] (2016)\cover.jpg";"1";"2017-03-03 15:01:46";"Download";"145EE92FBED82E5ABD16949ECC0FB238";"01:16:27";"0";"3984";"1";"NEW";"4587,2";"8";"TAG";"1";"2017-02-28 14:50:53";"";"Download";"TRANCE";"_2015_2019";"2016";"8";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Morphic Resonance - The City of Moons [Suntrip Records - SUNCD41] (2016)";"FLAC";"";"559";"2017-03-03 15:01:46";"0";"Morphic Resonance - The City of Moons [Suntrip Records - SUNCD41] ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Geomagnetic.TV\[GEOCD017] Atma - Beyond Good and Evil (2006)\cover.jpg";"1";"2017-03-03 15:04:20";"Label/Physique";"624516EA87E9510D0BB3B96A467EF246";"01:11:57";"0";"3985";"1";"NEW";"4317,028";"9";"TAG";"1";"2016-04-02 11:00:09";"Geomagnetic.TV";"Labels";"TRANCE";"Geomagnetic.TV";"2006";"9";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Geomagnetic.TV\[GEOCD017] Atma - Beyond Good and Evil (2006)";"FLAC";"GEOCD017";"506";"2017-03-03 15:04:20";"0";"Atma - Beyond Good and Evil ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Spintwist Records\[SPN1CD056] VA - Audiophile Vol. 4 (2013)\cover.jpg";"1";"2017-03-03 15:07:16";"Label/Physique";"E58CE180A241983EEB4719E89CD33544";"01:12:11";"0";"3986";"8";"NEW";"4330,545";"10";"TAG";"1";"2017-03-03 11:21:18";"Spintwist Records";"Labels";"TRANCE";"Spintwist Records";"2013";"10";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Spintwist Records\[SPN1CD056] VA - Audiophile Vol. 4 (2013)";"FLAC";"SPN1CD056";"531";"2017-03-03 15:07:16";"1";"VA - Audiophile Vol. 4 ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\TIP.World\[TIPWCD047] VA - Lucas Presents God Save The Machine (2006)\cover.jpg";"1";"2017-03-03 15:08:11";"Label/Physique";"91C3824EC3F67E5198E9670C50F52E5F";"01:11:47";"0";"2158";"2";"UPDATE";"4306,84";"10";"TAG";"1";"2017-02-27 00:15:53";"TIP.World";"Labels";"TRANCE";"TIP.World";"2006";"10";"\\HOMERSTATION\_LossLess\TRANCE\Labels\TIP.World\[TIPWCD047] VA - Lucas Presents God Save The Machine (2006)";"FLAC";"TIPWCD047";"487";"2016-05-30 21:13:54";"0";"VA - Lucas Presents God Save The Machine ";"0"
