"TAG_Duration";"FIL_Track";"TAG_length";"TAG_Exten";"ODR_Track";"TAG_Albumartists";"Position1";"TAG_Year";"TAG_Artists";"TAG_Genres";"REP_Album";"Position2";"TAG_Album";"Category";"TAG_Disc";"TAG_Track";"TAG_Title";"ID_CD";"REP_Track";"Date_Insert";"Statut";"ID_TRACK";"Family"
"452";"Astrix - Artcore.wav";"00:07:32";"Monkey's Audio APE Version 3.990";"01";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"01";"Poison";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54394";"Download"
"460";"Astrix - Artcore.wav";"00:07:40";"Monkey's Audio APE Version 3.990";"02";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"02";"Monster Remix";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54395";"Download"
"414";"Astrix - Artcore.wav";"00:06:54";"Monkey's Audio APE Version 3.990";"03";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"03";"Tweaky";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54396";"Download"
"453";"Astrix - Artcore.wav";"00:07:33";"Monkey's Audio APE Version 3.990";"04";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"04";"Techno Widows";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54397";"Download"
"425";"Astrix - Artcore.wav";"00:07:05";"Monkey's Audio APE Version 3.990";"05";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"05";"Artcore";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54398";"Download"
"384";"Astrix - Artcore.wav";"00:06:24";"Monkey's Audio APE Version 3.990";"06";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"06";"On Fire";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54399";"Download"
"408";"Astrix - Artcore.wav";"00:06:48";"Monkey's Audio APE Version 3.990";"07";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"07";"Underbeat";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54400";"Download"
"411";"Astrix - Artcore.wav";"00:06:51";"Monkey's Audio APE Version 3.990";"08";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"08";"Sex Style";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54401";"Download"
"465";"Astrix - Artcore.wav";"00:07:45";"Monkey's Audio APE Version 3.990";"09";"Astrix";"Download";"2004";"Astrix";"""Psychedelic Trance""";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"_2000_2004";"Artcore";"TRANCE";"1";"09";"Beyond The Senses";"4000";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Astrix - Artcore (2004)";"2017-03-13 12:49:05";"NEW";"54402";"Download"
"489,493";"01 - Green House Effect - Confused.flac";"00:08:09";"Flac Audio";"1-01";"Green House Effect";"Download";"2001";"Green House Effect";"Psy-Trance/Goa Trance/Progressive Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Green House Effect - Global Warming (2001)";"_2000_2004";"Global Warming";"TRANCE";"1";"01";"Confused";"4001";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Green House Effect - Global Warming (2001)";"2017-03-13 12:49:19";"NEW";"54403";"Download"
