"Cover";"Qty_CD";"Date_Modifs";"Family";"MD5";"Length";"Qty_CueERR";"ID_CD";"Qty_covers";"Statut";"Duration";"Qty_Tracks";"Typ_Tag";"Qty_repMusic";"RHDD_Modifs";"Label";"Position1";"Category";"Position2";"Year";"Qty_audio";"Path";"Typ_Audio";"ISRC";"Size";"Date_Insert";"Qty_Cue";"Name";"Qty_repCover"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)\cover.jpg";"1";"2017-03-07 12:50:02";"Download";"C2B33F82211ED0A584748C444BB287A6";"01:13:24";"0";"3977";"7";"UPDATE";"4403,639";"10";"TAG";"1";"2017-02-28 14:50:01";"";"Download";"TRANCE";"_2000_2004";"2000";"10";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"FLAC";"";"491";"2017-03-03 14:59:01";"2";"GMS vs. Systembusters - GMS vs. Systembusters ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Miraculix - The Arrival (2004)\cover.jpg";"1";"2017-03-07 12:50:18";"Download";"40426770175BD5AE872402BB1083E0E3";"01:17:48";"0";"3989";"3";"NEW";"4668,08";"9";"TAG";"1";"2017-03-05 15:18:33";"";"Download";"TRANCE";"_2000_2004";"2004";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\Miraculix - The Arrival (2004)";"FLAC";"";"545";"2017-03-07 12:50:18";"0";"Miraculix - The Arrival ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\VA - Special Blend Vol. 2 [Movement Dark Roasted] (2014)\cover.jpg";"1";"2017-03-07 12:52:07";"Download";"B618E19D6C0A9D0061210C7EE4B673AF";"01:11:28";"0";"3990";"8";"NEW";"4288,281";"9";"TAG";"1";"2017-03-05 15:17:52";"";"Download";"TRANCE";"_2010_2014";"2014";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2010_2014\VA - Special Blend Vol. 2 [Movement Dark Roasted] (2014)";"FLAC";"";"494";"2017-03-07 12:52:07";"1";"VA - Special Blend Vol. 2 [Movement Dark Roasted] ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Braincell - Connecting Multiverses (2017)\cover.jpg";"1";"2017-03-07 12:52:20";"Download";"ED6A6B9343165C564C1EF39E48575010";"01:09:56";"0";"3991";"2";"NEW";"4196,416";"9";"TAG";"1";"2017-03-04 00:36:21";"";"Download";"TRANCE";"_2015_2019";"2017";"9";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2015_2019\Braincell - Connecting Multiverses (2017)";"FLAC";"";"530";"2017-03-07 12:52:20";"0";"Braincell - Connecting Multiverses ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Blue Tunes Records\[BTRDR318] Metronome - Evolve EP (2016)\cover.jpg";"1";"2017-03-07 12:54:46";"Label/Physique";"2F6997FC389EDCAB3361042B8A1435CD";"00:15:45";"0";"3992";"1";"NEW";"945,373";"2";"TAG";"1";"2017-03-06 18:31:55";"Blue Tunes Records";"Labels";"TRANCE";"Blue Tunes Records";"2016";"2";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Blue Tunes Records\[BTRDR318] Metronome - Evolve EP (2016)";"FLAC";"BTRDR318";"105";"2017-03-07 12:54:46";"0";"Metronome - Evolve EP ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGADIGITAL284] Sideform - The Ritual EP (2016)\cover.jpg";"1";"2017-03-07 12:56:36";"Label/Physique";"54DEFA37AD745877615240BEBBA01E30";"00:17:38";"0";"3993";"1";"NEW";"1058,146";"2";"TAG";"1";"2017-03-06 18:12:09";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2016";"2";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGADIGITAL284] Sideform - The Ritual EP (2016)";"FLAC";"IBOGADIGITAL284";"122";"2017-03-07 12:56:36";"0";"Sideform - The Ritual EP ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD79] VA - Groove Attack 2CD (2012)\CD1\cover.jpg";"2";"2017-03-07 12:56:04";"Label/Physique";"63173737B4884F82EAD6853093765B18";"02:26:03";"0";"1825";"10";"UPDATE";"8762,666";"18";"TAG";"2";"2017-03-06 18:10:34";"Iboga Records";"Labels";"TRANCE";"Iboga Records";"2012";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Iboga Records\[IBOGACD79] VA - Groove Attack 2CD (2012)";"FLAC";"IBOGACD79";"1049";"2016-05-30 20:43:13";"2";"VA - Groove Attack 2CD ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Ovnimoon Records\[OVNIEP237] Abstrackt Dimension - Seeking The Source EP (2017)\cover.jpg";"1";"2017-03-07 12:58:18";"Label/Physique";"14C5D4D8701619262214D6004C5E111E";"00:18:43";"0";"3994";"1";"NEW";"1122,96";"2";"TAG";"1";"2017-03-06 18:14:32";"Ovnimoon Records";"Labels";"TRANCE";"Ovnimoon Records";"2017";"2";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Ovnimoon Records\[OVNIEP237] Abstrackt Dimension - Seeking The Source EP (2017)";"FLAC";"OVNIEP237";"127";"2017-03-07 12:58:18";"0";"Abstrackt Dimension - Seeking The Source EP ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\TIP.World\[TIPWCD047] VA - Lucas Presents God Save The Machine (2006)\cover.jpg";"1";"2017-03-07 13:00:03";"Label/Physique";"91C3824EC3F67E5198E9670C50F52E5F";"01:11:47";"0";"3995";"2";"NEW";"4306,84";"10";"TAG";"1";"2017-02-27 00:15:53";"TIP.World";"Labels";"TRANCE";"TIP.World";"2006";"10";"\\HOMERSTATION\_LossLess\TRANCE\Labels\TIP.World\[TIPWCD047] VA - Lucas Presents God Save The Machine (2006)";"FLAC";"TIPWCD047";"487";"2017-03-07 13:00:03";"0";"VA - Lucas Presents God Save The Machine ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Yellow Sunshine Explosion\[YSE 111-CD] VA - Goa Beach Vol. 05 (2006)\cover.jpg";"2";"2017-03-07 13:01:05";"Label/Physique";"F65C17A135F6A07AB9F9059BFEEDEC3F";"02:21:52";"0";"3997";"1";"NEW";"8512,495";"19";"TAG";"2";"2015-07-02 19:56:40";"Yellow Sunshine Explosion";"Labels";"TRANCE";"Yellow Sunshine Explosion";"2006";"19";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Yellow Sunshine Explosion\[YSE 111-CD] VA - Goa Beach Vol. 05 (2006)";"FLAC";"YSE 111-CD";"876";"2017-03-07 13:01:05";"2";"VA - Goa Beach Vol. 05 ";"-1"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Yellow Sunshine Explosion\[YSE 337-CD] VA - Goa Session by Protonica 2CD (2014)\CD1\cover.jpg";"2";"2017-03-07 13:01:57";"Label/Physique";"A0DCDC136FEB92D03AD28E86775F61A0";"02:24:54";"0";"3999";"8";"NEW";"8694,067";"18";"TAG";"2";"2015-12-19 20:28:40";"Yellow Sunshine Explosion";"Labels";"TRANCE";"Yellow Sunshine Explosion";"2014";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Yellow Sunshine Explosion\[YSE 337-CD] VA - Goa Session by Protonica 2CD (2014)";"FLAC";"YSE 337-CD";"957";"2017-03-07 13:01:57";"2";"VA - Goa Session by Protonica 2CD ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Yellow Sunshine Explosion\[YSE 031-CD] VA - Psychedelic Radio 2CD (2003)\CD1\cover.jpg";"2";"2017-03-07 13:00:44";"Label/Physique";"BCC509BDC10C71DB4900FD92206B665D";"02:26:28";"2";"3996";"3";"NEW";"8788,411";"18";"TAG";"2";"2016-04-16 17:14:24";"Yellow Sunshine Explosion";"Labels";"TRANCE";"Yellow Sunshine Explosion";"2003";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Yellow Sunshine Explosion\[YSE 031-CD] VA - Psychedelic Radio 2CD (2003)";"FLAC";"YSE 031-CD";"901";"2017-03-07 13:00:44";"2";"VA - Psychedelic Radio 2CD ";"1"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\Yellow Sunshine Explosion\[YSE 141-CD] VA - Tribal Planet Vol.3 compiled by Slater (2007)\CD1\cover.jpg";"2";"2017-03-07 13:01:14";"Label/Physique";"9649494E8921B1346DF25DECD22FA213";"02:22:24";"0";"3998";"2";"NEW";"8543,813";"18";"TAG";"2";"2017-03-03 19:33:12";"Yellow Sunshine Explosion";"Labels";"TRANCE";"Yellow Sunshine Explosion";"2007";"18";"\\HOMERSTATION\_LossLess\TRANCE\Labels\Yellow Sunshine Explosion\[YSE 141-CD] VA - Tribal Planet Vol.3 compiled by Slater (2007)";"FLAC";"YSE 141-CD";"993";"2017-03-07 13:01:14";"2";"VA - Tribal Planet Vol.3 compiled by Slater ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\YoYo Records\[YOYO070] Quantum - Kiss the Sound (2005)\cover.jpg";"1";"2017-03-07 13:02:35";"Label/Physique";"3B3325302D57F2D0B27713839A05F5A6";"01:12:58";"0";"3789";"1";"UPDATE";"4377,507";"10";"TAG";"1";"2017-03-04 00:02:27";"YoYo Records";"Labels";"TRANCE";"YoYo Records";"2005";"10";"\\HOMERSTATION\_LossLess\TRANCE\Labels\YoYo Records\[YOYO070] Quantum - Kiss the Sound (2005)";"APE";"YOYO070";"443";"2017-01-15 14:58:15";"0";"Quantum - Kiss the Sound ";"0"
"\\HOMERSTATION\_LossLess\TRANCE\Labels\YoYo Records\[YOYO018] VA - The Future Sound of Ambient III (1997)\cover.jpg";"1";"2017-03-07 13:02:25";"Label/Physique";"B895C20F226A0E2B3DBA19F79EA964D3";"01:12:32";"1";"3628";"3";"UPDATE";"4351,561";"10";"TAG";"1";"2017-03-04 00:02:26";"YoYo Records";"Labels";"TRANCE";"YoYo Records";"1997";"10";"\\HOMERSTATION\_LossLess\TRANCE\Labels\YoYo Records\[YOYO018] VA - The Future Sound of Ambient III (1997)";"FLAC";"YOYO018";"457";"2016-11-18 15:39:26";"1";"VA - The Future Sound of Ambient III ";"0"
